osm_id,name,lat,lon,region,federal_district,cluster,cluster_name,dist_to_region_center_km,dist_to_moscow_km,federal_district_code,gps_density_5km,grp_per_capita_2021,population_2021,urban_pct
254979752,"ГКОУ ""Тверская школа №4""",56.8734882,35.8967219,Tver',ЦФО,5,Кластер 6,1.8594708497381545,163.4201293117472,1,180031,352,1271,74
286139294,Ср. школа,57.3182094,32.0771313,Novgorod,СЗФО,5,Кластер 6,142.10621909611768,381.3932239439045,2,1512,381,606,70
311405248,50,55.6617483,38.038944,Moskva,ЦФО,7,Кластер 8,28.17803619154024,28.392204217178673,1,882917,579,8524,81
313034914,Институт повышения квалификации специалистов стройиндустрии и промышленности стройматериалов,55.6595985,37.9845017,Moskva,ЦФО,7,Кластер 8,25.110977341712346,25.35314029023509,1,882917,579,8524,81
441944745,Гимназия №5,55.9356857,37.8371609,Moskva,ЦФО,7,Кластер 8,24.676728866784995,24.247988844614184,1,870849,579,8524,81
441944768,Школа №2,55.9369869,37.8370741,Moskva,ЦФО,7,Кластер 8,24.79415158566867,24.36430267005816,1,870849,579,8524,81
441945507,Школа №1,55.9184605,37.8110194,Moskva,ЦФО,7,Кластер 8,22.181279940061057,21.7486025370867,1,870849,579,8524,81
455040471,Белгородская коррекционная школа-интернат № 23,50.5615049,36.5610181,Belgorod,ЦФО,5,Кластер 6,4.3826442181796255,581.8407413554688,1,285195,546,1549,67
461584432,Детская школа искусств,51.6949705,39.0208913,Voronezh,ЦФО,5,Кластер 6,11.53138055515983,460.8591560220366,1,40341,432,2333,66
528720522,ЦО 1432,55.6426021,37.3414064,Moskva,ЦФО,7,Кластер 8,21.11202966146299,21.400094454287935,1,577557,579,8524,81
562719111,Детгородковская средняя школа,56.1726986,36.1284353,Moskva,ЦФО,7,Кластер 8,103.8921056888164,103.62492922467813,1,699,579,8524,81
577563310,Школа № 1,55.4461836,37.7366075,Moskva,ЦФО,7,Кластер 8,34.70342357707035,35.23012413462358,1,364171,579,8524,81
590196337,Прохоровская гимназия,51.0357814,36.7356201,Belgorod,ЦФО,5,Кластер 6,49.880277487275954,528.0781153390988,1,74609,546,1549,67
598510481,школа №4,55.4524881,37.7553417,Moskva,ЦФО,7,Кластер 8,34.29592462645103,34.81885849336013,1,1010654,579,8524,81
618934409,Школа № 1355,55.5404804,37.5778667,Moskva,ЦФО,7,Кластер 8,23.543778717777073,24.071891695200343,1,1564662,579,8524,81
628673316,Школа №1 им. М. В. Серёгина,56.1647063,38.8823079,Vladimir,ЦФО,5,Кластер 6,94.46350422617914,90.90532949726888,1,16683,353,1378,78
632242132,Воскресная школа,51.6616404,39.2086621,Voronezh,ЦФО,5,Кластер 6,2.054239557167791,467.1046242863943,1,302771,432,2333,66
663731001,Кванториум,50.1944876,39.5730396,Voronezh,ЦФО,5,Кластер 6,166.53788498796408,632.031021443941,1,31767,432,2333,66
663731002,Лицей №4,50.1973684,39.5686975,Voronezh,ЦФО,5,Кластер 6,166.17212912179258,631.6568852078007,1,31767,432,2333,66
663749992,Школа №2,50.2015029,39.5573069,Voronezh,ЦФО,5,Кластер 6,165.59038480261063,631.0492577336641,1,31767,432,2333,66
663975944,Школа №2,54.7392393,35.2188032,Kaluga,ЦФО,5,Кластер 6,71.34993567127914,189.4435473639032,1,67850,519,1010,76
663975948,Школа №1,54.7399293,35.2336,Kaluga,ЦФО,5,Кластер 6,70.49045582308098,188.64493112150188,1,67850,519,1010,76
694089524,Классический пансион МГУ им. М.В. Ломоносова,55.7161568,37.4355618,MoscowCity,ЦФО,2,Кластер 3,12.061193967680774,12.219068611435771,1,1835205,1848,12655,100
695380171,Школа №8,50.8724275,39.0987815,Voronezh,ЦФО,5,Кластер 6,89.10581394733278,551.8149141332802,1,29643,432,2333,66
702055518,Острогожская школа №6,50.8533618,39.0524735,Voronezh,ЦФО,5,Кластер 6,91.48725037643452,553.3685616676211,1,29643,432,2333,66
715707817,Центральная школа,56.7435342,41.3739811,Ivanovo,ЦФО,5,Кластер 6,37.51031378194074,256.69114684406884,1,1325,266,1003,81
776130740,Железногорская детская школа искусств,52.3290988,35.3624824,Kursk,ЦФО,5,Кластер 6,87.55519133049525,408.43613583696623,1,162504,417,1105,68
781648578,Базовая школа,50.2115422,38.1027422,Belgorod,ЦФО,5,Кластер 6,115.5899234570186,617.3440250857907,1,43880,546,1549,67
824056353,Школа №3,50.200645,38.1052819,Belgorod,ЦФО,5,Кластер 6,116.22258356082742,618.5631792540273,1,43880,546,1549,67
827323234,Детская школа искусств № 18,51.5503205,39.0887765,Voronezh,ЦФО,5,Кластер 6,15.043257144113197,477.5437498676371,1,91012,432,2333,66
844647359,Школа №1,57.4193168,35.0031958,Tver',ЦФО,5,Кластер 6,82.99495919489713,244.5906582378495,1,2638,352,1271,74
859160216,Школа танцев,51.317446,37.8873419,Belgorod,ЦФО,5,Кластер 6,121.2405306703306,493.8432216739223,1,159502,546,1549,67
864148473,Детская школа исскуств,51.6045351,36.2509398,Kursk,ЦФО,5,Кластер 6,14.512034043017362,470.268182251462,1,84,417,1105,68
880186221,Средняя школа №1 им. Октябрьской революции,52.1558261,34.5049465,Bryansk,ЦФО,5,Кластер 6,121.26066164432191,449.0176873981129,1,7135,329,1196,71
893991091,Лицей №3,51.2832974,37.8117936,Belgorod,ЦФО,5,Кластер 6,114.78555751147894,497.4847349460718,1,111303,546,1549,67
893991249,Cредняя общеобразовательная школа №11,51.2846856,37.8105277,Belgorod,ЦФО,5,Кластер 6,114.8210979352,497.3282741114619,1,111303,546,1549,67
894129602,Средняя общеобразовательная школа №27,51.2878998,37.7980384,Belgorod,ЦФО,5,Кластер 6,114.40732896089766,496.9505413945817,1,111303,546,1549,67
894129655,Средняя общеобразовательная школа №12,51.282864,37.7979779,Belgorod,ЦФО,5,Кластер 6,114.03236677447524,497.5102565720028,1,111303,546,1549,67
894129662,Средняя общеобразовательная школа №13,51.2803142,37.8076409,Belgorod,ЦФО,5,Кластер 6,114.3497647586688,497.8093707113821,1,111303,546,1549,67
894175946,Основная общеобразовательная школа №36,51.3152305,37.8638808,Belgorod,ЦФО,5,Кластер 6,119.8493989270626,494.0360955842256,1,159502,546,1549,67
898977488,ЦДЮТ №3,51.2814046,37.7979828,Belgorod,ЦФО,5,Кластер 6,113.925154103056,497.67250034943766,1,111303,546,1549,67
